89, 3, 1
51, 3, 1
36, 4, 1
45, 5, 0
82, 9, 1
94, 9, 0
35, 3, 1
18, 1, 1
8, 4, 0
35, 5, 0
73, 1, 1
76, 8, 1
33, 8, 1
57, 7, 1
9, 5, 0
43, 2, 1
95, 5, 1
89, 1, 0
5, 3, 1
94, 9, 0
46, 7, 1
46, 2, 0
59, 1, 0
31, 1, 0
48, 4, 0
98, 9, 0
53, 6, 0
2, 3, 0
53, 5, 1
36, 4, 1
34, 1, 0
28, 2, 1
97, 7, 0
25, 4, 1
29, 7, 0
9, 7, 1
73, 7, 1
58, 3, 1
31, 7, 1
46, 9, 0
84, 7, 0
58, 5, 1
42, 7, 0
66, 3, 1
13, 8, 0
84, 1, 0
96, 8, 1
58, 1, 1
74, 6, 0
14, 1, 1
75, 2, 1
26, 5, 0
24, 6, 0
99, 9, 1
17, 8, 0
63, 4, 0
95, 4, 1
20, 7, 0
7, 2, 1
53, 8, 0
16, 9, 1
36, 7, 1
9, 8, 0
87, 6, 0
87, 2, 1
82, 6, 1
47, 6, 0
94, 7, 1
90, 1, 1
10, 1, 0
50, 5, 1
37, 4, 1
10, 3, 1
10, 2, 0
71, 6, 1
1, 1, 0
0, 7, 0
22, 4, 1
88, 6, 0
21, 8, 0
94, 6, 1
71, 3, 0
41, 9, 0
48, 3, 1
13, 5, 0
59, 9, 0
45, 4, 0
96, 2, 1
18, 2, 1
94, 9, 0
24, 4, 1
98, 9, 1
84, 4, 0
40, 7, 1
44, 6, 1
48, 5, 1
97, 4, 0
4, 7, 1
70, 5, 1
31, 2, 0
